Assembly	contigs
# contigs (>= 0 bp)	141
# contigs (>= 1000 bp)	83
# contigs (>= 5000 bp)	65
# contigs (>= 10000 bp)	62
# contigs (>= 25000 bp)	55
# contigs (>= 50000 bp)	42
Total length (>= 0 bp)	9160811
Total length (>= 1000 bp)	9137739
Total length (>= 5000 bp)	9098010
Total length (>= 10000 bp)	9072776
Total length (>= 25000 bp)	8963163
Total length (>= 50000 bp)	8532095
# contigs	100
Largest contig	663492
Total length	9151282
Reference length	9283304
N50	263950
N75	149242
L50	12
L75	24
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	478751
# local misassemblies	2
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.502
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	160.16
# indels per 100 kbp	0.51
Largest alignment	663492
NA50	227737
NA75	149242
LA50	13
LA75	25
