Assembly	final.contigs
# contigs (>= 0 bp)	3558
# contigs (>= 1000 bp)	1692
# contigs (>= 5000 bp)	162
# contigs (>= 10000 bp)	12
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	5505255
Total length (>= 1000 bp)	4579850
Total length (>= 5000 bp)	1096625
Total length (>= 10000 bp)	135969
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2356
Largest contig	15834
Total length	5055979
Reference length	4641652
GC (%)	50.74
Reference GC (%)	50.79
N50	2998
NG50	3183
N75	1716
NG75	2027
L50	542
LG50	475
L75	1100
LG75	933
# misassemblies	12
# misassembled contigs	12
Misassembled contigs length	36417
# local misassemblies	1
# unaligned contigs	30 + 29 part
Unaligned length	19674
Genome fraction (%)	98.064
Duplication ratio	1.106
# N's per 100 kbp	0.00
# mismatches per 100 kbp	502.55
# indels per 100 kbp	1.23
Largest alignment	15834
NA50	2970
NGA50	3179
NA75	1708
NGA75	2013
LA50	543
LGA50	475
LA75	1103
LGA75	936
