Assembly	contigs
# contigs (>= 1000 bp)	128
# contigs (>= 5000 bp)	74
# contigs (>= 10000 bp)	61
# contigs (>= 25000 bp)	44
# contigs (>= 50000 bp)	29
Total length (>= 1000 bp)	4549291
Total length (>= 5000 bp)	4416772
Total length (>= 10000 bp)	4320846
Total length (>= 25000 bp)	4035554
Total length (>= 50000 bp)	3496417
# contigs	164
Largest contig	317313
Total length	4572766
Reference length	4641652
GC (%)	50.79
Reference GC (%)	50.78
N50	95318
NG50	92158
N75	59112
NG75	58576
L50	13
LG50	14
L75	28
LG75	29
# misassemblies	18
# misassembled contigs	2
Misassembled contigs length	294991
# local misassemblies	4
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	90.420
Duplication ratio	1.090
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1049.92
# indels per 100 kbp	0.86
Largest alignment	317313
NA50	83030
NGA50	83030
NA75	40613
NGA75	39331
LA50	15
LGA50	15
LA75	32
LGA75	34
