Assembly	contigs
# contigs (>= 1000 bp)	171
# contigs (>= 5000 bp)	121
# contigs (>= 10000 bp)	79
# contigs (>= 25000 bp)	25
# contigs (>= 50000 bp)	8
Total length (>= 1000 bp)	2388941
Total length (>= 5000 bp)	2251033
Total length (>= 10000 bp)	1941351
Total length (>= 25000 bp)	1106637
Total length (>= 50000 bp)	531188
# contigs	183
Largest contig	108881
Total length	2396038
Reference length	4641652
GC (%)	50.68
Reference GC (%)	50.79
N50	23315
NG50	3800
N75	12110
L50	29
LG50	138
L75	66
# misassemblies	3
# misassembled contigs	3
Misassembled contigs length	122783
# local misassemblies	2
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	50.449
Duplication ratio	1.023
# N's per 100 kbp	0.00
# mismatches per 100 kbp	832.52
# indels per 100 kbp	0.56
Largest alignment	108881
NA50	23073
NGA50	3780
NA75	11853
LA50	31
LGA50	141
LA75	69
