All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  2            
    # relocations                2            
    # translocations             0            
    # inversions                 0            
# possibly misassembled contigs  0            
# misassembled contigs           2            
Misassembled contigs length      4628         
# local misassemblies            1            
# mismatches                     5360         
# indels                         2            
    # short indels               2            
    # long indels                0            
Indels length                    2            
