Assembly	final.contigs
# contigs (>= 1000 bp)	869
# contigs (>= 5000 bp)	20
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	1756037
Total length (>= 5000 bp)	120207
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2399
Largest contig	7748
Total length	2797826
Reference length	4641652
GC (%)	50.67
Reference GC (%)	50.79
N50	1400
NG50	669
N75	771
L50	566
LG50	1573
L75	1262
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	57.799
Duplication ratio	1.043
# N's per 100 kbp	0.00
# mismatches per 100 kbp	317.28
# indels per 100 kbp	0.07
Largest alignment	7748
NA50	1400
NGA50	669
NA75	771
LA50	566
LGA50	1573
LA75	1262
