Genome	Similarity	evaluation_type	Tree_genome	metric	value
Acidobacterium_capsulatum_ATCC_51196	90.0	consensus	Ancestor	NGA50	39800.0
Acidobacterium_capsulatum_ATCC_51196	90.0	consensus	Evolved	NGA50	46368.0
Acidobacterium_capsulatum_ATCC_51196	90.0	strain	Ancestor	NGA50	39800.0
Acidobacterium_capsulatum_ATCC_51196	90.0	strain	Evolved	NGA50	46368.0
Acidobacterium_capsulatum_ATCC_51196	90.5	consensus	Ancestor	NGA50	43805.0
Acidobacterium_capsulatum_ATCC_51196	90.5	consensus	Evolved	NGA50	49547.0
Acidobacterium_capsulatum_ATCC_51196	90.5	strain	Ancestor	NGA50	43805.0
Acidobacterium_capsulatum_ATCC_51196	90.5	strain	Evolved	NGA50	49547.0
Acidobacterium_capsulatum_ATCC_51196	91.0	consensus	Ancestor	NGA50	28898.0
Acidobacterium_capsulatum_ATCC_51196	91.0	consensus	Evolved	NGA50	34029.0
Acidobacterium_capsulatum_ATCC_51196	91.0	strain	Ancestor	NGA50	28898.0
Acidobacterium_capsulatum_ATCC_51196	91.0	strain	Evolved	NGA50	34029.0
Acidobacterium_capsulatum_ATCC_51196	91.5	consensus	Ancestor	NGA50	20315.0
Acidobacterium_capsulatum_ATCC_51196	91.5	consensus	Evolved	NGA50	24554.0
Acidobacterium_capsulatum_ATCC_51196	91.5	strain	Ancestor	NGA50	20315.0
Acidobacterium_capsulatum_ATCC_51196	91.5	strain	Evolved	NGA50	24554.0
Acidobacterium_capsulatum_ATCC_51196	92.0	consensus	Ancestor	NGA50	15021.0
Acidobacterium_capsulatum_ATCC_51196	92.0	consensus	Evolved	NGA50	16757.0
Acidobacterium_capsulatum_ATCC_51196	92.0	strain	Ancestor	NGA50	15021.0
Acidobacterium_capsulatum_ATCC_51196	92.0	strain	Evolved	NGA50	16757.0
Acidobacterium_capsulatum_ATCC_51196	92.5	consensus	Ancestor	NGA50	11893.0
Acidobacterium_capsulatum_ATCC_51196	92.5	consensus	Evolved	NGA50	13164.0
Acidobacterium_capsulatum_ATCC_51196	92.5	strain	Ancestor	NGA50	11831.0
Acidobacterium_capsulatum_ATCC_51196	92.5	strain	Evolved	NGA50	13164.0
Acidobacterium_capsulatum_ATCC_51196	93.0	consensus	Ancestor	NGA50	8258.0
Acidobacterium_capsulatum_ATCC_51196	93.0	consensus	Evolved	NGA50	9028.0
Acidobacterium_capsulatum_ATCC_51196	93.0	strain	Ancestor	NGA50	8258.0
Acidobacterium_capsulatum_ATCC_51196	93.0	strain	Evolved	NGA50	9023.0
Acidobacterium_capsulatum_ATCC_51196	93.5	consensus	Ancestor	NGA50	6558.0
Acidobacterium_capsulatum_ATCC_51196	93.5	consensus	Evolved	NGA50	6982.0
Acidobacterium_capsulatum_ATCC_51196	93.5	strain	Ancestor	NGA50	6503.0
Acidobacterium_capsulatum_ATCC_51196	93.5	strain	Evolved	NGA50	6969.0
Acidobacterium_capsulatum_ATCC_51196	94.0	consensus	Ancestor	NGA50	4680.0
Acidobacterium_capsulatum_ATCC_51196	94.0	consensus	Evolved	NGA50	5005.0
Acidobacterium_capsulatum_ATCC_51196	94.0	strain	Ancestor	NGA50	4630.0
Acidobacterium_capsulatum_ATCC_51196	94.0	strain	Evolved	NGA50	5005.0
Acidobacterium_capsulatum_ATCC_51196	94.5	consensus	Ancestor	NGA50	3679.0
Acidobacterium_capsulatum_ATCC_51196	94.5	consensus	Evolved	NGA50	3898.0
Acidobacterium_capsulatum_ATCC_51196	94.5	strain	Ancestor	NGA50	3663.0
Acidobacterium_capsulatum_ATCC_51196	94.5	strain	Evolved	NGA50	3870.0
Acidobacterium_capsulatum_ATCC_51196	95.0	consensus	Ancestor	NGA50	2690.0
Acidobacterium_capsulatum_ATCC_51196	95.0	consensus	Evolved	NGA50	2702.0
Acidobacterium_capsulatum_ATCC_51196	95.0	strain	Ancestor	NGA50	2673.0
Acidobacterium_capsulatum_ATCC_51196	95.0	strain	Evolved	NGA50	2701.0
Acidobacterium_capsulatum_ATCC_51196	95.5	consensus	Ancestor	NGA50	2046.0
Acidobacterium_capsulatum_ATCC_51196	95.5	consensus	Evolved	NGA50	2089.0
Acidobacterium_capsulatum_ATCC_51196	95.5	strain	Ancestor	NGA50	2014.0
Acidobacterium_capsulatum_ATCC_51196	95.5	strain	Evolved	NGA50	2080.0
Acidobacterium_capsulatum_ATCC_51196	96.0	consensus	Ancestor	NGA50	1533.0
Acidobacterium_capsulatum_ATCC_51196	96.0	consensus	Evolved	NGA50	1558.0
Acidobacterium_capsulatum_ATCC_51196	96.0	strain	Ancestor	NGA50	1527.0
Acidobacterium_capsulatum_ATCC_51196	96.0	strain	Evolved	NGA50	1547.0
Acidobacterium_capsulatum_ATCC_51196	96.5	consensus	Ancestor	NGA50	1180.0
Acidobacterium_capsulatum_ATCC_51196	96.5	consensus	Evolved	NGA50	1180.0
Acidobacterium_capsulatum_ATCC_51196	96.5	strain	Ancestor	NGA50	1167.0
Acidobacterium_capsulatum_ATCC_51196	96.5	strain	Evolved	NGA50	1161.0
Acidobacterium_capsulatum_ATCC_51196	97.0	consensus	Ancestor	NGA50	955.0
