Assembly	contigs
# contigs (>= 0 bp)	11095
# contigs (>= 1000 bp)	302
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	4598196
Total length (>= 1000 bp)	380811
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2702
Largest contig	3259
Total length	1971634
Reference length	4641652
GC (%)	50.73
Reference GC (%)	50.79
N50	719
N75	588
L50	1027
L75	1790
# misassemblies	14
# misassembled contigs	14
Misassembled contigs length	18788
# local misassemblies	3
# unaligned contigs	0 + 9 part
Unaligned length	528
Genome fraction (%)	41.549
Duplication ratio	1.022
# N's per 100 kbp	0.00
# mismatches per 100 kbp	998.32
# indels per 100 kbp	1.40
Largest alignment	3243
NA50	717
NGA50	-
NA75	587
LA50	1032
LA75	1797
