Assembly	final.contigs
# contigs (>= 0 bp)	1378
# contigs (>= 1000 bp)	266
Total length (>= 0 bp)	1026645
Total length (>= 1000 bp)	436254
# contigs	826
Largest contig	5316
Total length	826744
Reference length	1283598
GC (%)	26.39
Reference GC (%)	26.30
N50	1045
NG50	698
N75	733
L50	244
LG50	514
L75	484
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	84.447
Duplication ratio	1.066
# N's per 100 kbp	0.00
# mismatches per 100 kbp	487.75
# indels per 100 kbp	0.37
Largest alignment	5316
NA50	1045
NGA50	698
NA75	733
LA50	244
LGA50	514
LA75	484
