Assembly	contigs
# contigs (>= 0 bp)	4832
# contigs (>= 1000 bp)	1011
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	3506228
Total length (>= 1000 bp)	1525120
Total length (>= 5000 bp)	18221
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2762
Largest contig	6520
Total length	2765545
Reference length	4641652
GC (%)	50.75
Reference GC (%)	50.79
N50	1072
NG50	660
N75	764
L50	874
LG50	1989
L75	1643
# misassemblies	30
# misassembled contigs	30
Misassembled contigs length	58926
# local misassemblies	3
# unaligned contigs	1 + 13 part
Unaligned length	3749
Genome fraction (%)	59.379
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	773.65
# indels per 100 kbp	1.42
Largest alignment	6021
NA50	1064
NGA50	655
NA75	756
LA50	884
LGA50	2011
LA75	1661
