Assembly	contigs
# contigs (>= 1000 bp)	23
# contigs (>= 5000 bp)	21
# contigs (>= 10000 bp)	21
# contigs (>= 25000 bp)	20
# contigs (>= 50000 bp)	18
Total length (>= 1000 bp)	4787167
Total length (>= 5000 bp)	4784160
Total length (>= 10000 bp)	4784160
Total length (>= 25000 bp)	4773357
Total length (>= 50000 bp)	4686785
# contigs	25
Largest contig	700824
Total length	4789008
Reference length	4641652
GC (%)	50.70
Reference GC (%)	50.78
N50	373445
NG50	373445
N75	257933
NG75	325448
L50	5
LG50	5
L75	9
LG75	8
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	349059
# local misassemblies	1
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.565
Duplication ratio	1.036
# N's per 100 kbp	0.00
# mismatches per 100 kbp	351.90
# indels per 100 kbp	1.10
Largest alignment	700544
NA50	373445
NGA50	373445
NA75	188536
NGA75	188536
LA50	5
LGA50	5
LA75	9
LGA75	9
