Assembly	contigs
# contigs (>= 1000 bp)	186
# contigs (>= 5000 bp)	114
# contigs (>= 10000 bp)	81
# contigs (>= 25000 bp)	49
# contigs (>= 50000 bp)	30
Total length (>= 1000 bp)	4613605
Total length (>= 5000 bp)	4406321
Total length (>= 10000 bp)	4180898
Total length (>= 25000 bp)	3636372
Total length (>= 50000 bp)	3000472
# contigs	217
Largest contig	347033
Total length	4634038
Reference length	4641652
GC (%)	50.65
Reference GC (%)	50.78
N50	67124
NG50	67124
N75	28222
NG75	28222
L50	19
LG50	19
L75	44
LG75	44
# misassemblies	5
# misassembled contigs	2
Misassembled contigs length	139104
# local misassemblies	2
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	89.236
Duplication ratio	1.119
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1073.89
# indels per 100 kbp	0.75
Largest alignment	347033
NA50	63158
NGA50	63158
NA75	28222
NGA75	28222
LA50	19
LGA50	19
LA75	45
LGA75	45
