Assembly	contigs
# contigs (>= 0 bp)	113
# contigs (>= 1000 bp)	70
# contigs (>= 5000 bp)	53
# contigs (>= 10000 bp)	49
# contigs (>= 25000 bp)	42
# contigs (>= 50000 bp)	27
Total length (>= 0 bp)	4573623
Total length (>= 1000 bp)	4557826
Total length (>= 5000 bp)	4521205
Total length (>= 10000 bp)	4491905
Total length (>= 25000 bp)	4378172
Total length (>= 50000 bp)	3840895
# contigs	84
Largest contig	327173
Total length	4567478
Reference length	4641652
GC (%)	50.75
Reference GC (%)	50.79
N50	133063
NG50	133063
N75	86633
NG75	78670
L50	11
LG50	11
L75	21
LG75	22
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	4
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.360
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1.82
# indels per 100 kbp	0.24
Largest alignment	327173
NA50	133063
NGA50	133063
NA75	86633
NGA75	78670
LA50	11
LGA50	11
LA75	21
LGA75	22
