Assembly                     final.contigs
# misassemblies              1            
    # relocations            1            
    # translocations         0            
    # inversions             0            
# misassembled contigs       1            
Misassembled contigs length  1694         
# local misassemblies        0            
# mismatches                 2605         
# indels                     2            
    # short indels           2            
    # long indels            0            
Indels length                2            
