Assembly	contigs
# contigs (>= 0 bp)	2506
# contigs (>= 1000 bp)	1513
# contigs (>= 5000 bp)	124
# contigs (>= 10000 bp)	6
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	4431186
Total length (>= 1000 bp)	3862221
Total length (>= 5000 bp)	801169
Total length (>= 10000 bp)	64962
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2090
Largest contig	11817
Total length	4286021
Reference length	4641652
GC (%)	50.75
Reference GC (%)	50.79
N50	2702
NG50	2524
N75	1586
NG75	1357
L50	499
LG50	567
L75	1009
LG75	1190
# misassemblies	7
# misassembled contigs	7
Misassembled contigs length	30151
# local misassemblies	7
# unaligned contigs	0 + 1 part
Unaligned length	178
Genome fraction (%)	92.141
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	5.89
# indels per 100 kbp	0.23
Largest alignment	11817
NA50	2697
NGA50	2514
NA75	1584
NGA75	1355
LA50	502
LGA50	570
LA75	1014
LGA75	1195
