Assembly	contigs
# contigs (>= 0 bp)	124
# contigs (>= 1000 bp)	75
# contigs (>= 5000 bp)	57
# contigs (>= 10000 bp)	53
# contigs (>= 25000 bp)	45
# contigs (>= 50000 bp)	29
Total length (>= 0 bp)	4570905
Total length (>= 1000 bp)	4554506
Total length (>= 5000 bp)	4517001
Total length (>= 10000 bp)	4487733
Total length (>= 25000 bp)	4368918
Total length (>= 50000 bp)	3802336
# contigs	88
Largest contig	327173
Total length	4563447
Reference length	4641652
GC (%)	50.75
Reference GC (%)	50.79
N50	129098
NG50	129098
N75	78649
NG75	67374
L50	12
LG50	12
L75	23
LG75	24
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	3
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.282
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1.56
# indels per 100 kbp	0.15
Largest alignment	327173
NA50	129098
NGA50	129098
NA75	78649
NGA75	67374
LA50	12
LGA50	12
LA75	23
LGA75	24
