Assembly	contigs
# contigs (>= 0 bp)	115
# contigs (>= 1000 bp)	72
# contigs (>= 5000 bp)	54
# contigs (>= 10000 bp)	48
# contigs (>= 25000 bp)	42
# contigs (>= 50000 bp)	27
Total length (>= 0 bp)	4577286
Total length (>= 1000 bp)	4562911
Total length (>= 5000 bp)	4524003
Total length (>= 10000 bp)	4481024
Total length (>= 25000 bp)	4390707
Total length (>= 50000 bp)	3871427
# contigs	83
Largest contig	327173
Total length	4570561
Reference length	4641652
GC (%)	50.74
Reference GC (%)	50.79
N50	173566
NG50	133063
N75	87186
NG75	78670
L50	10
LG50	11
L75	20
LG75	21
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.397
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1.18
# indels per 100 kbp	0.13
Largest alignment	327173
NA50	172028
NGA50	133063
NA75	87186
NGA75	78670
LA50	10
LGA50	11
LA75	20
LGA75	21
