Assembly	final.contigs
# contigs (>= 1000 bp)	348
# contigs (>= 5000 bp)	159
# contigs (>= 10000 bp)	65
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 1000 bp)	2117338
Total length (>= 5000 bp)	1591421
Total length (>= 10000 bp)	951971
Total length (>= 25000 bp)	25216
Total length (>= 50000 bp)	0
# contigs	469
Largest contig	25216
Total length	2194235
Reference length	4641652
GC (%)	50.63
Reference GC (%)	50.79
N50	8631
N75	4751
L50	81
L75	171
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	5468
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	46.809
Duplication ratio	1.010
# N's per 100 kbp	0.00
# mismatches per 100 kbp	421.92
# indels per 100 kbp	0.00
Largest alignment	25216
NA50	8631
NGA50	-
NA75	4751
LA50	81
LA75	171
