Assembly	scaffolds
# contigs (>= 1000 bp)	106
# contigs (>= 5000 bp)	67
# contigs (>= 10000 bp)	60
# contigs (>= 25000 bp)	46
# contigs (>= 50000 bp)	29
Total length (>= 1000 bp)	4493024
Total length (>= 5000 bp)	4396833
Total length (>= 10000 bp)	4344583
Total length (>= 25000 bp)	4117236
Total length (>= 50000 bp)	3512590
# contigs	143
Largest contig	317313
Total length	4517317
Reference length	4641652
GC (%)	50.79
Reference GC (%)	50.78
N50	95318
NG50	94928
N75	59591
NG75	58576
L50	13
LG50	14
L75	27
LG75	29
# misassemblies	18
# misassembled contigs	2
Misassembled contigs length	302873
# local misassemblies	4
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	89.572
Duplication ratio	1.087
# N's per 100 kbp	1.15
# mismatches per 100 kbp	1047.45
# indels per 100 kbp	0.91
Largest alignment	317313
NA50	86515
NGA50	84208
NA75	47277
NGA75	40613
LA50	14
LGA50	15
LA75	31
LGA75	33
