All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           contigs
# misassemblies                    5      
    # relocations                  1      
    # translocations               0      
    # inversions                   0      
    # interspecies translocations  4      
# possibly misassembled contigs    0      
# misassembled contigs             5      
Misassembled contigs length        310368 
# local misassemblies              3      
# mismatches                       40657  
# indels                           41     
    # short indels                 41     
    # long indels                  0      
Indels length                      53     
