Assembly	anonymous_gsa
# contigs (>= 0 bp)	33
# contigs (>= 1000 bp)	32
# contigs (>= 5000 bp)	32
# contigs (>= 10000 bp)	32
# contigs (>= 25000 bp)	30
# contigs (>= 50000 bp)	23
Total length (>= 0 bp)	4641407
Total length (>= 1000 bp)	4641166
Total length (>= 5000 bp)	4641166
Total length (>= 10000 bp)	4641166
Total length (>= 25000 bp)	4597222
Total length (>= 50000 bp)	4356658
# contigs	32
Largest contig	550206
Total length	4641166
Reference length	4641652
GC (%)	50.79
Reference GC (%)	50.79
N50	223317
NG50	223317
N75	147399
NG75	147399
L50	7
LG50	7
L75	14
LG75	14
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.987
Duplication ratio	1.000
# N's per 100 kbp	2.93
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
Largest alignment	550206
NA50	223317
NGA50	223317
NA75	147399
NGA75	147399
LA50	7
LGA50	7
LA75	14
LGA75	14
