All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         scaffolds
# misassemblies                  0        
    # relocations                0        
    # translocations             0        
    # inversions                 0        
# possibly misassembled contigs  0        
# misassembled contigs           0        
Misassembled contigs length      0        
# local misassemblies            0        
# mismatches                     69       
# indels                         17       
    # short indels               13       
    # long indels                4        
Indels length                    93       
