All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  2            
    # relocations                2            
    # translocations             0            
    # inversions                 0            
# possibly misassembled contigs  0            
# misassembled contigs           2            
Misassembled contigs length      3248         
# local misassemblies            0            
# mismatches                     3632         
# indels                         3            
    # short indels               3            
    # long indels                0            
Indels length                    3            
