Assembly	final.contigs
# contigs (>= 0 bp)	48356
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	14889940
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	729
Largest contig	977
Total length	412461
Reference length	4641652
GC (%)	50.81
Reference GC (%)	50.79
N50	546
N75	517
L50	332
L75	526
# misassemblies	3
# misassembled contigs	3
Misassembled contigs length	1599
# local misassemblies	1
# unaligned contigs	11 + 2 part
Unaligned length	6376
Genome fraction (%)	8.479
Duplication ratio	1.032
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1414.29
# indels per 100 kbp	0.51
Largest alignment	977
NA50	544
NGA50	-
NA75	516
LA50	332
LA75	528
