Assembly	contigs
# contigs (>= 1000 bp)	126
# contigs (>= 5000 bp)	92
# contigs (>= 10000 bp)	66
# contigs (>= 25000 bp)	38
# contigs (>= 50000 bp)	22
Total length (>= 1000 bp)	2803196
Total length (>= 5000 bp)	2716375
Total length (>= 10000 bp)	2519417
Total length (>= 25000 bp)	2119186
Total length (>= 50000 bp)	1570029
# contigs	138
Largest contig	130415
Total length	2810883
Reference length	4641652
GC (%)	50.81
Reference GC (%)	50.79
N50	51643
NG50	14008
N75	26461
L50	19
LG50	49
L75	38
# misassemblies	4
# misassembled contigs	4
Misassembled contigs length	339551
# local misassemblies	1
# unaligned contigs	0 + 1 part
Unaligned length	55
Genome fraction (%)	59.673
Duplication ratio	1.015
# N's per 100 kbp	0.00
# mismatches per 100 kbp	703.80
# indels per 100 kbp	0.36
Largest alignment	117700
NA50	50218
NGA50	14008
NA75	23279
LA50	20
LGA50	53
LA75	42
